hs2022_code_upstream,hs2022_code_downstream
8542,8472
8473,8472
8479,8472
8534,8472
8543,8472
3926,8472
8532,8472
9033,8472
8305,8472
8542,8473
8534,8473
8532,8473
7403,8473
7404,8473
7407,8473
7408,8473
7409,8473
3926,8473
8504,8473
9031,8473
8486,8473
7202,8473
7204,8473
7206,8473
7207,8473
7210,8473
7214,8473
7215,8473
7216,8473
7217,8473
7218,8473
7219,8473
7220,8473
7221,8473
7222,8473
7223,8473
7224,8473
7225,8473
7226,8473
7227,8473
7228,8473
7229,8473
7303,8473
7304,8473
7306,8473
7307,8473
7325,8473
7326,8473
7405,8473
7502,8473
7505,8473
7601,8473
7604,8473
7605,8473
7608,8473
7901,8473
7904,8473
8455,8473
7209,8473
7212,8473
7506,8473
7602,8473
7606,8473
7616,8473
7905,8473
2603,8473
7406,8473
7410,8473
7411,8473
7412,8473
7413,8473
7415,8473
7419,8473
7318,8473
8482,8473
8483,8473
4009,8473
8307,8473
8457,8473
8477,8473
8479,8473
8485,8473
4010,8473
8207,8473
8412,8473
8311,8473
8515,8473
8546,8473
8208,8473
8209,8473
8456,8473
8458,8473
8459,8473
8461,8473
8462,8473
8463,8473
7208,8473
7211,8473
7213,8473
8501,8473
8204,8473
7203,8473
7305,8473
7315,8473
7320,8473
8108,8473
8112,8473
8502,8473
8505,8473
8102,8473
8484,8473
8466,8473
3403,8473
8420,8473
8454,8473
8437,8473
7609,8473
7603,8473
8439,8473
8447,8473
8101,8473
9033,8473
7206,8474
7218,8474
7219,8474
7220,8474
7222,8474
7224,8474
7225,8474
7226,8474
7228,8474
8501,8474
8503,8474
8412,8474
8482,8474
7306,8474
7318,8474
8207,8474
8431,8474
8466,8474
8479,8474
7207,8474
7208,8474
7209,8474
7210,8474
7211,8474
7212,8474
7214,8474
7216,8474
7217,8474
7221,8474
7227,8474
7229,8474
7325,8474
7326,8474
7315,8474
7215,8474
7305,8474
9032,8474
7320,8474
8208,8474
7223,8474
7403,8474
7407,8474
7419,8474
8430,8474
8473,8474
9033,8474
8487,8474
7213,8474
7604,8474
4010,8474
8460,8474
8484,8474
8209,8474
8464,8474
6804,8474
6805,8474
7201,8474
7202,8474
7502,8474
8113,8474
7408,8474
8480,8474
7409,8474
2513,8474
8419,8474
3816,8474
3926,8474
7616,8474
2701,8474
2713,8474
2505,8474
2530,8474
6815,8474
8102,8474
2508,8474
6902,8474
6903,8474
2702,8474
8416,8474
7411,8474
8502,8474
8505,8474
7606,8474
2601,8474
7001,8475
7002,8475
7003,8475
7004,8475
7005,8475
7006,8475
7011,8475
7014,8475
7020,8475
8540,8475
8513,8475
8539,8475
8419,8475
8468,8475
8538,8475
8543,8475
7404,8475
8479,8475
8514,8475
8482,8475
7008,8475
8205,8475
9031,8475
7318,8475
7206,8475
7306,8475
9032,8475
8431,8475
8466,8475
8473,8475
7408,8475
8541,8475
8532,8475
8417,8475
8487,8475
9033,8475
7206,8476
7216,8476
7218,8476
7219,8476
7220,8476
7222,8476
7223,8476
7225,8476
7226,8476
7229,8476
7306,8476
7326,8476
7601,8476
8501,8476
8503,8476
8537,8476
8538,8476
8418,8476
8533,8476
8509,8476
3920,8476
7403,8476
7408,8476
7409,8476
