"id","desc"
"7207","Iron or non-alloy steel; semi-finished products thereof"
"7206","Iron and non-alloy steel in ingots or other primary forms (excluding iron of heading no. 7203)"
"7216","Iron or non-alloy steel, angles, shapes and sections"
"7213","Iron or non-alloy steel; bars and rods, hot-rolled, in irregularly wound coils"
"7214","Iron or non-alloy steel; bars and rods, not further worked than forged, hot-rolled, hot drawn or hot-extruded, but including those twisted after rolling"
"7208","Iron or non-alloy steel; flat-rolled products of a width of 600mm or more, hot-rolled, not clad, plated or coated"
"7326","Iron or steel; articles, n.e.s. in chapter 73"
"7209","Iron or non-alloy steel; flat-rolled products, width 600mm or more, cold-rolled (cold-reduced), not clad, plated or coated"
"4001","Natural rubber, balata, gutta-percha, guayule, chicle and similar gums; in primary forms or in plates, sheets or strip"
"4016","Articles of vulcanised rubber other than hard rubber, n.e.s. in chapter 40"
"4002","Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip; mixtures of heading no. 4001 and 4002, in primary forms or in plates, sheets or strip"
"4005","Compounded rubber, unvulcanised, in primary forms or in plates, sheets or strip"
"4007","Vulcanised rubber thread and cord"
"4008","Plates, sheets, strip, rods and profile shapes, of vulcanised rubber other than hard rubber"
"4013","Inner tubes, of rubber"
"8204","Tools, hand; hand-operated spanners and wrenches (including torque meter wrenches but not including tap wrenches), interchangeable spanner sockets, with or without handles"
"7211","Iron or non-alloy steel; flat-rolled products, width less than 600mm, not clad, plated or coated"
"7215","Iron or non-alloy steel; bars and rods, n.e.s. in chapter 72"
"7217","Wire of iron or non-alloy steel"
"7218","Stainless steel in ingots or other primary forms; semi-finished products of stainless steel"
"7219","Stainless steel; flat-rolled products of width of 600mm or more"
"7220","Stainless steel; flat-rolled products of width less than 600mm"
"7221","Stainless steel bars and rods, hot-rolled, in irregularly wound coils"
"7222","Stainless steel bars and rods, angles, shapes and sections"
"7224","Alloy steel in ingots or other primary forms, semi-finished products of other alloy steel"
"7227","Steel, alloy; bars and rods, hot-rolled, in irregularly wound coils"
"7229","Wire of other alloy steel"
"7212","Iron or non-alloy steel; flat-rolled products, width less than 600mm, clad, plated or coated"
"7325","Iron or steel; cast articles"
"7210","Iron or non-alloy steel; flat-rolled products, width 600mm or more, clad, plated or coated"
"7223","Stainless steel wire"
"7225","Alloy steel flat-rolled products, of a width 600mm or more"
"7226","Alloy steel flat-rolled products, of a width of less than 600mm"
"7419","Copper; articles thereof n.e.s."
"7407","Copper; bars, rods and profiles"
"7604","Aluminium; bars, rods and profiles"
"4009","Tubes, pipes and hoses, of vulcanised rubber (other than hard rubber), with or without their fittings (eg joints, elbows, flanges)"
"4011","New pneumatic tyres, of rubber"
"4012","Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber"
"7312","Stranded wire, ropes, cables, plaited bands, slings and the like, of iron or steel, not electrically insulated"
"7306","Tubes, pipes and hollow profiles (eg open seam or welded, riveted or similarly closed), of iron or steel"
"7314","Cloth (including endless bands), grill, netting and fencing, of iron or steel wire; expanded metal of iron or steel"
"7315","Chain and parts thereof, of iron or steel"
"7904","Zinc; bars, rods, profiles and wire"
"7304","Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel"
"7317","Nails, tacks, drawing pins, corrugated nails, staples (not those of heading no. 8305) and the like, of iron or steel, with heads of other material or not, but excluding articles with heads of copper"
"7318","Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter-pins, washers (including spring washers) and similar articles, of iron or steel"
"7320","Springs and leaves for springs, of iron or steel"
"7905","Zinc; plates, sheets, strip and foil"
"8307","Tubing; flexible, with or without fittings, of base metal"
"7601","Aluminium; unwrought"
"7609","Aluminium; tube or pipe fittings (eg couplings, elbows, sleeves)"
"7616","Aluminium; articles n.e.s. in chapter 76"
"7415","Nails, tacks, drawing pins, staples (not those of heading no. 8305) and the like, of copper or iron or steel with heads of copper; screws bolts, nuts, screws hooks, rivets, cotters, washers of copper"
"7416","Copper springs"
"7602","Aluminium; waste and scrap"
"7605","Aluminium wire"
"7614","Aluminium; stranded wire, cables, plaited bands and the like, (not electrically insulated)"
"7606","Aluminium; plates, sheets and strip, thickness exceeding 0.2mm"
"7608","Aluminium; tubes and pipes"
"7610","Aluminium; structures (excluding prefabricated buildings of heading no. 9406) and parts (eg bridges and sections, towers, lattice masts, etc) plates, rods, profiles and tubes for structures"
"8482","Ball or roller bearings"
"8483","Transmission shafts (including cam and crank) and cranks; bearing housings and plain shaft bearings; gears and gearing; ball or roller screws; gear boxes and other speed changers; flywheels and pulleys; clutches and shaft couplings"
